ags	name_reference	source_page_left	source_row	eligible_voters	without_certificate	with_certificate	number_voters	invalid_votes	valid_votes	cdu	spd	fdp	ssw	dkp	dgl	gruene	fp	fsu	einzelbewerber_llsh
01054025	DUNSUM	40	24	63	59	4	54	0	54	46	5	1	1	0	0	1	0	0	0
01054026	ELISABETH-SOPHIEN-KOOG	40	25	34	24	10	24	0	24	22	1	1	0	0	0	0	0	0	0
01054027	ELLHOEFT	42	1	100	95	5	82	0	82	49	21	0	2	0	0	10	0	0	0
01054032	FRESENDELF	42	2	60	55	5	46	0	46	33	10	0	2	0	0	1	0	0	0
01054033	FRIEDRICHSTADT, STADT	42	3	2161	1888	273	1658	4	1654	587	849	40	141	0	0	37	0	0	0
01054034	FRIEDRICH-WILHELM-LUEBKE-KOOG	42	4	192	184	8	167	0	167	116	43	1	2	0	0	5	0	0	0
01054035	GARDING, KIRCHSPIEL	42	5	228	195	33	166	0	166	92	52	7	10	0	0	5	0	0	0
01054036	GARDING, STADT	42	6	1701	1437	264	1213	7	1206	570	477	62	63	0	0	34	0	0	0
01054037	GOLDEBEK	42	7	230	222	8	192	0	192	111	64	1	6	0	0	10	0	0	0
01054038	GOLDELUND	42	8	280	262	18	234	0	234	163	50	1	9	1	0	10	0	0	0
01054039	GROEDE	42	9	14	11	3	11	0	11	8	3	0	0	0	0	0	0	0	0
01054040	GROTHUSENKOOG	42	10	29	25	4	22	0	22	7	12	2	0	0	0	1	0	0	0
01054041	HASELUND	42	11	528	499	29	426	3	423	290	112	8	4	1	0	8	0	0	0
01054042	HATTSTEDT	42	12	1317	1222	95	977	6	971	459	395	38	35	0	0	44	0	0	0
01054043	HATTSTEDTERMARSCH	42	13	247	233	14	174	0	174	122	36	5	4	0	0	7	0	0	0
01054045	HOEGEL	42	14	320	299	21	261	0	261	186	54	5	3	0	0	11	0	0	2
01054046	HOERNUM (SYLT)	42	15	859	701	158	538	0	538	249	247	5	16	0	0	21	0	0	0
01054048	HOLM	42	16	68	66	2	62	0	62	41	16	2	2	0	0	1	0	0	0
01054050	HOOGE	42	17	128	107	21	89	1	88	35	46	1	2	0	0	4	0	0	0
01054052	HORSTEDT	42	18	411	391	20	327	2	325	196	102	3	15	0	0	9	0	0	0
01054054	HUDE	42	19	152	147	5	123	0	123	81	27	2	6	0	0	7	0	0	0
01054055	HUMPTRUP	42	20	563	535	28	431	1	430	260	109	5	44	0	0	12	0	0	0
01054056	HUSUM, STADT	42	21	17314	15627	1687	12732	43	12689	5363	6114	302	456	2	0	452	0	0	0
01054057	IMMENSTEDT	42	22	420	399	21	362	2	360	213	125	2	6	0	0	14	0	0	0
01054059	JOLDELUND	42	23	459	443	16	381	1	380	242	97	16	16	0	0	9	0	0	0
01054061	KAMPEN (SYLT)	42	24	760	529	231	358	1	357	247	74	6	0	1	0	29	0	0	0
01054062	KARLUM	42	25	178	174	4	138	0	138	95	26	0	8	0	0	9	0	0	0
01054063	KATHARINENHEERD	44	1	149	130	19	115	0	115	70	35	6	1	0	0	3	0	0	0
01054065	KLANXBUELL	44	2	497	462	35	357	0	357	193	139	5	8	0	0	12	0	0	0
01054068	KLIXBUELL	44	3	667	633	34	535	2	533	304	171	8	45	0	0	5	0	0	0
01054070	KOLDENBUETTEL	44	4	559	511	48	454	1	453	215	196	10	21	0	0	11	0	0	0
01054071	KOLKERHEIDE	44	5	53	43	10	36	0	36	23	10	0	0	0	0	2	0	0	1
01054072	KOTZENBUELL	44	6	142	121	21	109	0	109	42	46	17	2	0	0	2	0	0	0
01054073	LADELUND	44	7	749	701	48	573	1	572	327	167	10	46	1	0	20	0	0	1
01054074	LANGENESS	44	8	158	138	20	121	0	121	64	50	0	2	0	0	5	0	0	0
01054075	LANGENHORN	44	9	1961	1838	123	1516	2	1514	775	579	60	27	4	0	65	0	0	4
01054076	LECK	44	10	5529	5033	496	4177	9	4168	1974	1710	64	317	2	0	99	0	0	2
01054077	LEXGAARD	44	11	41	39	2	33	0	33	14	11	1	4	0	0	3	0	0	0
01054078	LIST	44	12	1442	1154	288	931	1	930	453	350	19	73	0	0	35	0	0	0
01054079	LOEWENSTEDT	44	13	458	444	14	385	0	385	251	109	7	11	0	0	7	0	0	0
01054080	LUETJENHOLM	44	14	202	191	11	159	0	159	95	53	5	2	0	0	4	0	0	0
01054083	MIDLUM	44	15	185	164	21	137	0	137	110	16	5	3	1	0	2	0	0	0
01054084	MILDSTEDT	44	16	1723	1608	115	1419	6	1413	593	677	42	55	4	0	42	0	0	0
01054085	NEBEL	44	17	777	591	186	465	1	464	265	141	21	7	0	0	30	0	0	0
01054086	NEUKIRCHEN	44	18	876	818	58	659	1	658	388	200	4	43	0	0	23	0	0	0
01054087	NIEBLUM	44	19	552	449	103	368	0	368	257	80	3	4	0	0	24	0	0	0
01054088	NIEBUELL, STADT	44	20	5233	4612	621	3920	15	3905	1923	1575	84	186	0	0	137	0	0	0
01054089	NORDDORF	44	21	445	341	104	268	1	267	192	53	3	7	0	0	12	0	0	0
01054090	NORDERFRIEDRICHSKOOG	44	22	42	39	3	36	0	36	32	3	0	0	0	0	1	0	0	0
01054091	NORDSTRAND	44	23	2108	1819	289	1622	5	1617	772	788	13	17	0	0	27	0	0	0
01054092	NORSTEDT	44	24	309	294	15	249	0	249	188	51	1	1	0	0	7	0	0	1
01054093	OCKHOLM	44	25	356	331	25	292	1	291	157	116	5	2	0	0	11	0	0	0
01054094	OEVENUM	46	1	305	288	17	233	0	233	137	69	4	14	0	0	9	0	0	0
01054095	OLDENSWORT	46	2	1003	917	86	742	2	740	359	298	42	19	0	0	22	0	0	0
01054096	OLDERSBEK	46	3	356	344	12	274	1	273	179	78	2	7	0	0	7	0	0	0
01054097	OLDERUP	46	4	250	241	9	210	0	210	148	52	4	3	0	0	3	0	0	0
01054098	OLDSUM	46	5	374	342	32	282	0	282	200	53	8	8	0	0	13	0	0	0
01054099	OSTENFELD (HUSUM)	46	6	946	868	78	744	1	743	441	238	31	8	0	0	25	0	0	0
01054100	OSTERHEVER	46	7	228	199	29	180	0	180	94	55	12	12	0	0	7	0	0	0
01054101	OSTER-OHRSTEDT	46	8	422	407	15	370	0	370	195	135	4	25	0	0	11	0	0	0
01054103	PELLWORM	46	9	1101	917	184	772	0	772	477	257	20	2	0	0	14	0	0	2
01054104	POPPENBUELL	46	10	214	184	30	147	1	146	81	37	10	15	0	0	3	0	0	0
01054105	RAMSTEDT	46	11	259	248	11	197	0	197	120	57	6	3	0	0	11	0	0	0
01054106	RANTRUM	46	12	871	797	74	692	2	690	374	238	49	6	1	0	22	0	0	0
01054107	RANTUM (SYLT)	46	13	400	326	74	232	0	232	119	91	8	5	1	0	8	0	0	0
01054108	REUSSENKOEGE	46	14	291	264	27	225	1	224	148	54	9	5	1	0	7	0	0	0
01054109	RISUM-LINDHOLM	46	15	2334	2181	153	1805	4	1801	842	732	31	144	1	0	51	0	0	0
01054110	RODENAES	46	16	326	305	21	251	1	250	123	96	2	15	0	0	14	0	0	0
01054113	SANKT PETER-ORDING	46	17	3196	2559	637	2021	11	2010	1056	770	75	34	0	0	75	0	0	0
01054115	SCHOBUELL	46	18	1416	1250	166	1086	0	1086	555	447	26	23	0	0	35	0	0	0
01054116	SCHWABSTEDT	46	19	970	871	99	748	4	744	411	270	23	18	0	0	22	0	0	0
01054118	SCHWESING	46	20	572	529	43	457	1	456	258	156	12	10	0	0	19	0	0	1
01054119	SEETH	46	21	433	391	42	338	4	334	138	156	14	17	0	0	9	0	0	0
01054120	SIMONSBERG	46	22	594	546	48	450	2	448	245	178	14	2	0	0	9	0	0	0
01054121	SOENNEBUELL	46	23	140	135	5	118	0	118	90	22	4	1	0	0	0	0	0	1
01054123	SOLLWITT	46	24	222	218	4	192	1	191	149	34	1	1	0	0	6	0	0	0
01054124	SPRAKEBUELL	46	25	171	161	10	139	0	139	92	31	2	5	0	0	9	0	0	0
01054125	STADUM	48	1	666	610	56	495	1	494	293	145	8	30	0	0	17	0	0	1
01054126	STEDESAND	48	2	598	557	41	468	0	468	270	158	3	30	0	0	7	0	0	0
01054128	STRUCKUM	48	3	613	575	38	479	2	477	218	228	14	6	1	0	10	0	0	0
01054129	SUEDERENDE	48	4	134	118	16	106	1	105	81	8	3	3	0	0	10	0	0	0
01054130	SUEDERHOEFT	48	5	17	15	2	15	0	15	15	0	0	0	0	0	0	0	0	0
01054131	SUEDERLUEGUM	48	6	1345	1262	83	992	4	988	593	303	14	47	2	0	29	0	0	0
01054132	SUEDERMARSCH	48	7	103	95	8	81	0	81	59	14	2	3	0	0	3	0	0	0
01054133	SYLT-OST	48	8	3945	3330	615	2513	4	2509	1181	970	65	145	9	0	139	0	0	0
01054134	TATING	48	9	782	686	96	562	4	558	255	240	20	18	0	0	25	0	0	0
01054135	TETENBUELL	48	10	675	568	107	476	0	476	231	195	27	9	0	0	14	0	0	0
01054136	TINNINGSTEDT	48	11	162	146	16	135	0	135	75	44	0	13	0	0	3	0	0	0
01054138	TOENNING, STADT	48	12	3976	3498	478	2835	14	2821	952	1466	65	253	2	0	83	0	0	0
01054140	TUEMLAUER KOOG	48	13	109	103	6	81	0	81	53	22	3	0	0	0	3	0	0	0
01054141	UELVESBUELL	48	14	237	209	28	179	0	179	93	72	7	4	0	0	3	0	0	0
01054142	UPHUSUM	48	15	291	279	12	237	0	237	160	69	0	2	1	0	5	0	0	0
01054143	UTERSUM	48	16	338	287	51	248	0	248	167	47	9	5	0	0	20	0	0	0
01054144	VIOEL	48	17	847	809	38	708	3	705	451	211	13	7	1	0	22	0	0	0
01054145	VOLLERWIEK	48	18	187	161	26	141	0	141	48	40	11	32	1	0	9	0	0	0
01054146	VOLLSTEDT	48	19	104	98	6	87	0	87	68	15	1	1	0	0	2	0	0	0
01054148	WELT	48	20	168	144	24	126	0	126	69	33	7	17	0	0	0	0	0	0
01054149	WENNINGSTEDT (SYLT)	48	21	1440	1008	432	814	1	813	456	257	22	28	1	0	49	0	0	0
01054150	WESTERHEVER	48	22	143	129	14	108	0	108	62	30	3	10	0	0	3	0	0	0
01054151	WESTERLAND, STADT	48	23	8254	6666	1588	4903	15	4888	2241	2018	94	300	5	0	230	0	0	0
01054152	WESTER-OHRSTEDT	48	24	672	621	51	545	0	545	325	173	11	26	0	0	9	0	0	1
01054154	WESTRE	48	25	273	258	15	223	1	222	171	28	0	18	0	0	5	0	0	0
01054156	WINNERT	50	1	513	500	13	424	0	424	282	113	6	9	0	0	14	0	0	0
01054157	WISCH	50	2	75	75	0	64	0	64	34	29	0	0	0	0	1	0	0	0
01054158	WITSUM	50	3	50	35	15	31	0	31	21	1	0	4	0	0	5	0	0	0
01054159	WITTBEK	50	4	539	525	14	436	0	436	322	99	7	0	1	0	7	0	0	0
01054160	WITTDUEN	50	5	453	360	93	287	2	285	147	123	2	4	0	0	9	0	0	0
01054161	WITZWORT	50	6	685	641	44	532	3	529	285	203	9	12	1	0	19	0	0	0
01054162	WOBBENBUELL	50	7	312	288	24	250	0	250	95	133	5	6	1	0	10	0	0	0
01054163	WRIXUM	50	8	372	339	33	270	3	267	136	106	4	5	1	0	15	0	0	0
01054164	WYK AUF FOEHR, STADT	50	9	3524	2974	550	2331	18	2313	1194	879	30	25	0	0	185	0	0	0
01054165	GALMSBUELL	50	10	548	503	45	418	3	415	247	99	8	28	0	0	33	0	0	0
01054166	EMMELSBUELL-HORSBUELL	50	11	899	831	68	678	4	674	335	269	11	20	0	0	39	0	0	0
01054167	ENGE-SANDE	50	12	772	697	75	582	2	580	381	143	16	18	1	0	21	0	0	0
01055001	AHRENSBOEK	52	1	5514	5123	391	4283	11	4272	2158	1959	58	0	1	7	88	1	0	0
01055002	ALTENKREMPE	52	2	765	714	51	630	4	626	346	267	3	0	1	1	8	0	0	0
01055004	BAD SCHWARTAU, STADT	52	3	15808	14382	1426	12082	33	12049	5967	5593	242	0	4	28	215	0	0	0
01055005	BANNESDORF AUF FEHMARN	52	4	1777	1599	178	1344	6	1338	584	712	10	0	2	0	30	0	0	0
01055006	BESCHENDORF	52	5	380	346	34	295	1	294	158	126	4	0	0	1	4	1	0	0
01055007	BOSAU	52	6	2296	2129	167	1885	8	1877	1021	781	16	0	2	7	49	1	0	0
01055008	BURG AUF FEHMARN, STADT	52	7	4718	4226	492	3473	10	3463	1640	1701	40	0	0	3	71	8	0	0
01055010	DAHME	52	8	1039	833	206	700	4	696	414	248	21	0	0	2	10	1	0	0
01055011	DAMLOS	52	9	420	386	34	353	0	353	136	201	3	0	1	0	12	0	0	0
01055012	EUTIN, STADT	52	10	13591	11930	1661	10082	24	10058	5078	4517	210	0	8	17	219	9	0	0
01055014	GOEHL	52	11	674	609	65	553	1	552	220	301	14	0	0	2	15	0	0	0
01055015	GREMERSDORF	52	12	1113	1034	79	918	3	915	441	436	8	0	1	4	24	1	0	0
01055016	GROEMITZ	52	13	4956	4219	737	3405	17	3388	1974	1256	77	0	3	7	62	9	0	0
01055017	GROSSENBRODE	52	14	1366	1198	168	1016	3	1013	536	396	56	0	1	2	21	1	0	0
01055018	GRUBE	52	15	721	642	79	594	2	592	320	259	2	0	0	1	10	0	0	0
01055020	HARMSDORF	52	16	555	520	35	468	0	468	207	239	7	0	0	0	15	0	0	0
01055021	HEILIGENHAFEN, STADT	52	17	6869	6181	688	4933	21	4912	2279	2407	70	0	1	11	138	6	0	0
01055022	HERINGSDORF	52	18	773	711	62	648	3	645	266	364	1	0	0	2	12	0	0	0
01055023	KABELHORST	52	19	300	278	22	228	0	228	116	102	6	0	0	0	4	0	0	0
01055024	KASSEEDORF	52	20	978	920	58	799	1	798	422	331	9	0	0	3	31	2	0	0
01055025	KELLENHUSEN (OSTSEE)	52	21	938	758	180	609	1	608	326	264	12	0	0	0	5	1	0	0
01055026	LANDKIRCHEN AUF FEHMARN	52	22	1711	1542	169	1325	4	1321	446	831	11	0	3	1	28	1	0	0
01055027	LENSAHN	52	23	3429	3078	351	2653	8	2645	1318	1237	48	0	2	7	28	5	0	0
01055028	MALENTE	52	24	7826	7069	757	6068	22	6046	3397	2298	193	0	3	20	124	11	0	0
01055029	MANHAGEN	52	25	271	259	12	214	0	214	102	108	1	0	0	0	3	0	0	0
01055031	NEUKIRCHEN	54	1	791	700	91	612	2	610	288	306	5	0	3	1	7	0	0	0
01055032	NEUSTADT IN HOLSTEIN, STADT	54	2	10622	9513	1109	8029	23	8006	4051	3496	235	0	8	25	167	24	0	0
01055033	OLDENBURG IN HOLSTEIN, STADT	54	3	7101	6438	663	5452	12	5440	2715	2510	93	0	3	11	99	9	0	0
01055035	RATEKAU	54	4	9965	9382	583	8029	27	8002	3836	3840	166	0	1	14	145	0	0	0
01055036	RIEPSDORF	54	5	766	708	58	626	3	623	359	247	2	0	2	0	11	2	0	0
01055037	SCHASHAGEN	54	6	1489	1390	99	1182	5	1177	562	562	20	0	1	6	26	0	0	0
01055038	SCHOENWALDE AM BUNGSBERG	54	7	1700	1600	100	1373	5	1368	780	538	14	0	1	3	30	2	0	0
01055039	SIERKSDORF	54	8	1161	958	203	751	3	748	375	336	18	0	1	5	12	1	0	0
01055040	STOCKELSDORF	54	9	9530	8903	627	7799	20	7779	3960	3518	126	0	3	18	154	0	0	0
01055041	SUESEL	54	10	3289	3051	238	2664	8	2656	1220	1326	50	0	1	4	49	6	0	0
01055042	TIMMENDORFER STRAND	54	11	6341	5511	830	4558	8	4550	2654	1681	112	0	4	8	91	0	0	0
01055043	WANGELS	54	12	1722	1598	124	1431	4	1427	706	688	16	0	2	0	15	0	0	0
01055044	SCHARBEUTZ	54	13	7225	6302	923	5365	9	5356	2866	2155	201	0	7	21	106	0	0	0
01055045	WESTFEHMARN	54	14	1574	1335	239	1162	4	1158	504	624	2	0	0	3	25	0	0	0
01056001	APPEN	56	1	2649	2425	224	2066	6	2060	1117	804	74	0	2	0	63	0	0	0
01056002	BARMSTEDT, STADT	56	2	6338	5801	537	4968	22	4946	2444	2081	113	3	139	0	166	0	0	0
01056003	BEVERN	56	3	351	339	12	300	0	300	230	55	5	1	0	0	9	0	0	0
01056004	BILSEN	56	4	462	440	22	415	5	410	234	160	2	2	0	0	12	0	0	0
01056005	BOENNINGSTEDT	56	5	2367	2139	228	1916	8	1908	1045	724	64	3	5	0	67	0	0	0
01056006	BOKEL	56	6	341	328	13	297	1	296	210	64	6	0	0	0	16	0	0	0
01056008	BOKHOLT-HANREDDER	56	7	846	758	88	667	2	665	402	213	20	1	1	0	28	0	0	0
01056009	BORSTEL-HOHENRADEN	56	8	1264	1189	75	1084	3	1081	563	458	23	4	1	0	32	0	0	0
01056010	BRANDE-HOERNERKIRCHEN	56	9	786	749	37	664	3	661	416	214	17	0	0	0	14	0	0	0
01056011	BULLENKUHLEN	56	10	228	221	7	194	0	194	115	60	2	0	6	0	11	0	0	0
01056013	ELLERBEK	56	11	3004	2716	288	2385	3	2382	1293	843	136	6	3	0	101	0	0	0
01056014	ELLERHOOP	56	12	754	707	47	630	4	626	426	168	10	1	2	0	19	0	0	0
01056015	ELMSHORN, STADT	56	13	32420	29645	2775	24617	89	24528	10391	12557	568	0	69	0	943	0	0	0
01056016	GROSS NORDENDE	56	14	321	297	24	270	3	267	152	96	7	0	0	0	12	0	0	0
01056017	GROSS OFFENSETH-ASPERN	56	15	185	172	13	160	0	160	123	30	2	0	1	0	4	0	0	0
01056018	HALSTENBEK	56	16	10478	9542	936	8188	22	8166	4082	3422	250	0	5	0	407	0	0	0
01056019	HASELAU	56	17	720	675	45	616	1	615	406	186	5	0	2	0	16	0	0	0
01056020	HASELDORF	56	18	1195	1089	106	996	4	992	598	326	30	0	1	0	37	0	0	0
01056021	HASLOH	56	19	2246	2003	243	1794	5	1789	950	667	65	6	0	0	101	0	0	0
01056022	HEEDE	56	20	475	456	19	397	1	396	270	109	7	1	0	0	9	0	0	0
01056023	HEIDGRABEN	56	21	1364	1263	101	1123	4	1119	528	524	18	0	2	0	47	0	0	0
01056024	HEIST	56	22	1630	1549	81	1346	3	1343	726	551	31	0	0	0	35	0	0	0
01056025	HELGOLAND	56	23	1532	1216	316	945	3	942	388	452	56	9	1	0	36	0	0	0
01056026	HEMDINGEN	56	24	1000	961	39	842	4	838	532	252	22	1	3	0	28	0	0	0
01056027	HETLINGEN	56	25	857	802	55	762	2	760	338	378	16	0	3	0	25	0	0	0
01056028	HOLM	58	1	1666	1541	125	1391	5	1386	722	558	36	0	1	0	69	0	0	0
01056029	KLEIN NORDENDE	58	2	1776	1669	107	1464	2	1462	689	677	33	0	0	0	63	0	0	0
01056030	KLEIN OFFENSETH-SPARRIESHOOP	58	3	1468	1391	77	1195	2	1193	656	483	24	0	2	0	28	0	0	0
01056031	KOELLN-REISIEK	58	4	1418	1349	69	1226	3	1223	542	630	15	0	0	0	36	0	0	0
01056032	KUMMERFELD	58	5	1206	959	247	1009	4	1005	492	463	19	1	1	0	29	0	0	0
01056033	KURZENMOOR	58	6	645	607	38	519	5	514	277	195	14	0	0	0	28	0	0	0
01056034	LANGELN	58	7	282	265	17	249	1	248	167	71	5	1	0	0	4	0	0	0
01056035	LUTZHORN	58	8	484	463	21	422	0	422	297	98	7	0	0	0	20	0	0	0
01056036	MOORREGE	58	9	2746	2570	176	2203	13	2190	1126	928	46	0	0	0	90	0	0	0
01056037	NEUENDEICH	58	10	321	301	20	279	0	279	157	100	4	0	6	0	12	0	0	0
01056038	OSTERHORN	58	11	211	202	9	180	0	180	123	43	7	0	0	0	7	0	0	0
01056039	PINNEBERG, STADT	58	12	27096	24341	2755	20392	59	20333	9544	9299	556	0	56	0	878	0	0	0
01056040	PRISDORF	58	13	1177	1054	123	945	2	943	483	391	20	0	1	0	48	0	0	0
01056041	QUICKBORN, STADT	58	14	13249	12187	1062	10102	25	10077	5325	3936	278	25	24	0	489	0	0	0
01056042	RAA-BESENBEK	58	15	414	377	37	340	1	339	197	108	10	0	0	0	24	0	0	0
01056043	RELLINGEN	58	16	9978	8963	1015	7816	22	7794	3997	3286	202	9	18	0	282	0	0	0
01056044	SCHENEFELD, STADT	58	17	11352	10369	983	8623	24	8599	3907	4048	244	0	10	0	390	0	0	0
01056045	SEESTERMUEHE	58	18	619	577	42	518	2	516	202	270	15	0	1	0	28	0	0	0
01056046	SEETH-EKHOLT	58	19	447	425	22	378	3	375	197	151	12	0	0	0	15	0	0	0
01056047	TANGSTEDT	58	20	1120	1036	84	939	3	936	489	366	41	2	2	0	36	0	0	0
01056048	TORNESCH	58	21	6881	6439	442	5569	21	5548	2568	2592	128	0	11	0	249	0	0	0
01056049	UETERSEN, STADT	58	22	12574	11512	1062	9830	38	9792	4429	4785	206	0	16	0	356	0	0	0
01056050	WEDEL (HOLSTEIN), STADT	58	23	23208	20748	2460	17552	45	17507	7598	8298	627	0	80	0	904	0	0	0
01056051	WESTERHORN	58	24	696	629	67	577	1	576	328	215	9	0	1	0	23	0	0	0
01057001	ASCHEBERG (HOLSTEIN)	60	1	1918	1779	139	1560	5	1555	803	703	17	0	0	0	32	0	0	0
01057002	BARMISSEN	60	2	137	129	8	120	0	120	72	36	0	0	0	0	12	0	0	0
01057003	BARSBEK	60	3	373	348	25	328	2	326	187	128	5	0	0	0	6	0	0	0
01057004	BEHRENSDORF (OSTSEE)	60	4	415	369	46	336	2	334	173	151	5	0	1	0	4	0	0	0
01057005	BELAU	60	5	297	277	20	243	0	243	156	77	4	0	0	0	6	0	0	0
01057006	BENDFELD	60	6	170	159	11	156	0	156	64	87	2	0	1	0	2	0	0	0
01057007	BLEKENDORF	60	7	1281	1201	80	1037	8	1029	519	475	12	0	0	0	23	0	0	0
01057008	BOENEBUETTEL	60	8	1052	979	73	866	2	864	522	301	12	0	2	0	27	0	0	0
01057009	BOESDORF	60	9	947	813	134	705	0	705	411	266	10	0	1	0	17	0	0	0
01057010	BOKSEE	60	10	300	286	14	251	1	250	119	115	2	0	0	0	14	0	0	0
01057011	BOTHKAMP	60	11	205	194	11	166	0	166	102	55	1	0	2	0	6	0	0	0
01057012	BRODERSDORF	60	12	224	204	20	168	0	168	68	85	2	0	0	0	13	0	0	0
01057013	DANNAU	60	13	342	330	12	287	0	287	165	100	6	0	0	0	16	0	0	0
01057015	DERSAU	60	14	577	535	42	468	2	466	289	147	10	0	0	0	20	0	0	0
01057016	DOBERSDORF	60	15	785	744	41	651	2	649	315	296	18	0	0	0	20	0	0	0
01057017	DOERNICK	60	16	190	169	21	161	0	161	104	46	4	0	0	0	7	0	0	0
01057018	FAHREN	60	17	94	84	10	70	0	70	33	24	6	0	0	0	7	0	0	0
01057020	FIEFBERGEN	60	18	269	259	10	226	1	225	116	103	6	0	0	0	0	0	0	0
01057021	GIEKAU	60	19	766	730	36	631	0	631	349	258	12	0	1	0	11	0	0	0
01057022	GREBIN	60	20	766	701	65	618	2	616	340	251	9	0	2	0	14	0	0	0
01057023	GROSSBARKAU	60	21	153	139	14	125	0	125	50	62	5	0	0	0	8	0	0	0
01057024	GROSSHARRIE	60	22	348	320	28	290	0	290	191	85	9	0	0	0	5	0	0	0
01057025	HEIKENDORF	60	23	6050	5344	706	4701	10	4691	2411	1988	163	0	2	0	127	0	0	0
01057026	HELMSTORF	60	24	255	246	9	205	0	205	85	107	1	0	1	0	11	0	0	0
01057027	HOEGSDORF	60	25	304	299	5	273	0	273	132	134	1	0	0	0	6	0	0	0
01057028	HOEHNDORF	62	1	271	262	9	239	0	239	143	91	1	0	0	0	4	0	0	0
01057029	HOHENFELDE	62	2	528	499	29	423	1	422	231	179	3	0	0	0	9	0	0	0
01057030	HOHWACHT (OSTSEE)	62	3	721	590	131	509	2	507	284	203	8	0	0	0	12	0	0	0
01057031	HONIGSEE	62	4	256	240	16	222	0	222	126	77	6	0	0	0	13	0	0	0
01057032	KALUEBBE	62	5	388	366	22	330	2	328	213	99	7	0	0	0	9	0	0	0
01057033	KIRCHBARKAU	62	6	561	525	36	486	1	485	276	169	19	0	0	0	21	0	0	0
01057034	KIRCHNUECHEL	62	7	176	166	10	134	0	134	80	51	0	0	0	0	3	0	0	0
01057035	KLAMP	62	8	479	451	28	388	1	387	162	213	4	0	1	0	7	0	0	0
01057036	KLAUSDORF	62	9	4123	3770	353	3348	10	3338	1576	1561	88	0	2	0	111	0	0	0
01057037	KLEIN BARKAU	62	10	202	182	20	159	1	158	104	46	4	0	1	0	3	0	0	0
01057038	KLETKAMP	62	11	122	114	8	95	0	95	57	34	0	0	0	0	4	0	0	0
01057039	KOEHN	62	12	454	438	16	370	0	370	201	150	3	0	0	0	16	0	0	0
01057040	KROKAU	62	13	220	211	9	197	1	196	113	78	0	0	0	0	5	0	0	0
01057041	KRUMMBEK	62	14	260	251	9	223	0	223	101	111	4	0	0	0	7	0	0	0
01057042	KUEHREN	62	15	397	376	21	333	5	328	163	153	5	0	1	0	6	0	0	0
01057043	LABOE	62	16	3391	3079	312	2581	11	2570	1157	1279	60	0	1	0	73	0	0	0
01057044	LAMMERSHAGEN	62	17	218	193	25	173	0	173	66	103	0	0	0	0	4	0	0	0
01057045	LEBRADE	62	18	424	396	28	362	1	361	168	181	0	0	0	0	12	0	0	0
01057046	LEHMKUHLEN	62	19	969	892	77	785	1	784	369	372	17	0	0	0	26	0	0	0
01057047	LOEPTIN	62	20	189	175	14	160	1	159	118	27	1	0	0	0	13	0	0	0
01057048	LUETJENBURG, STADT	62	21	4120	3774	346	3209	10	3199	1588	1472	69	0	6	0	64	0	0	0
01057049	LUTTERBEK	62	22	240	219	21	204	0	204	82	108	4	0	0	0	10	0	0	0
01057050	MARTENSRADE	62	23	535	508	27	444	8	436	221	199	3	0	0	0	13	0	0	0
01057051	MOENKEBERG	62	24	2406	2178	228	1966	5	1961	815	1003	81	0	0	0	62	0	0	0
01057052	MUCHELN	62	25	404	381	23	328	1	327	191	123	3	0	0	0	10	0	0	0
01057053	NEHMTEN	64	1	183	166	17	138	0	138	78	52	1	0	0	0	7	0	0	0
01057054	NETTELSEE	64	2	287	268	19	235	1	234	141	86	5	0	0	0	2	0	0	0
01057055	PANKER	64	3	992	932	60	810	7	803	370	408	4	0	2	0	19	0	0	0
01057056	PASSADE	64	4	167	152	15	132	0	132	62	55	4	0	0	0	11	0	0	0
01057057	PLOEN, STADT	64	5	7888	7035	853	6017	22	5995	3417	2250	165	0	5	0	158	0	0	0
01057058	POHNSDORF	64	6	299	269	30	232	1	231	149	67	4	0	0	0	11	0	0	0
01057059	POSTFELD	64	7	303	271	32	257	0	257	138	100	8	0	0	0	11	0	0	0
01057060	PRASDORF	64	8	286	281	5	259	1	258	138	111	1	0	0	0	8	0	0	0
01057062	PREETZ, STADT	64	9	12154	11149	1005	9722	22	9700	4274	4954	204	0	17	0	251	0	0	0
01057063	PROBSTEIERHAGEN	64	10	1363	1273	90	1127	5	1122	588	467	16	0	1	0	50	0	0	0
01057064	RAISDORF	64	11	5405	5017	388	4378	6	4372	2097	2057	112	0	2	0	104	0	0	0
01057065	RANTZAU	64	12	241	228	13	208	0	208	95	103	2	0	1	0	7	0	0	0
01057066	RASTORF	64	13	609	566	43	518	2	516	277	203	7	0	4	0	25	0	0	0
01057067	RATHJENSDORF	64	14	376	351	25	323	1	322	198	106	7	0	0	0	11	0	0	0
01057068	RENDSWUEHREN	64	15	544	508	36	439	1	438	328	99	4	0	0	0	7	0	0	0
01057069	RUHWINKEL	64	16	657	617	40	510	0	510	296	178	13	0	1	0	22	0	0	0
01057070	SCHELLHORN	64	17	1125	1027	98	930	3	927	481	396	16	0	3	0	31	0	0	0
01057071	SCHILLSDORF	64	18	686	644	42	584	0	584	356	195	4	0	0	0	29	0	0	0
01057072	SCHLESEN	64	19	353	324	29	295	0	295	130	145	7	0	0	0	13	0	0	0
